'Elapsed time','I','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'47:49:07.232',-,0.056,-,51.200,37.200
'47:49:07.240',-,0.056,-,48.800,36.800
'47:49:07.248',-,0.056,-,47.200,36.800
'47:49:07.256',-,0.096,-,45.600,36.800
'47:49:07.264',-,0.176,-,44.000,37.200
'47:49:07.272',-,0.304,-,43.200,37.600
'47:49:07.280',-,0.424,-,42.400,38.000
'47:49:07.288',-,0.544,-,42.400,38.400
'47:49:07.296',-,0.608,-,42.400,38.400
'47:49:07.304',-,0.568,-,42.400,38.400
'47:49:07.312',-,0.408,-,42.400,38.400
'47:49:07.320',-,0.176,-,43.200,38.000
'47:49:07.328',-,0.016,-,43.200,37.600
'47:49:07.336',-,-0.056,-,43.200,37.200
'47:49:07.344',-,-0.080,-,44.000,37.200
'47:49:07.352',-,-0.080,-,44.800,37.200
'47:49:07.360',-,-0.056,-,44.800,37.600
'47:49:07.368',-,-0.056,-,45.600,37.200
'47:49:07.376',-,-0.056,-,46.400,36.800
'47:49:07.384',-,-0.056,-,48.000,36.000
'47:49:07.392',-,-0.056,-,51.200,35.600
'47:49:07.400',-,-0.056,-,56.800,35.600
'47:49:07.408',-,-0.056,-,65.600,35.200
'47:49:07.416',-,-0.080,-,78.400,34.800
'47:49:07.424',-,-0.080,-,92.800,33.600
'47:49:07.432',-,-0.096,-,106.400,33.200
'47:49:07.440',-,-0.096,-,117.600,33.200
'47:49:07.448',-,-0.120,-,126.400,34.400
'47:49:07.456',-,-0.136,-,131.200,36.000
'47:49:07.464',-,-0.160,-,132.800,38.000
'47:49:07.472',-,-0.176,-,132.000,40.800
'47:49:07.480',-,-0.200,-,130.400,43.600
'47:49:07.488',-,-0.200,-,127.200,46.800
'47:49:07.496',-,-0.224,-,123.200,50.000
'47:49:07.504',-,-0.200,-,119.200,52.800
'47:49:07.512',-,-0.176,-,114.400,55.200
'47:49:07.520',-,-0.160,-,109.600,57.200
'47:49:07.528',-,-0.120,-,104.800,58.400
'47:49:07.536',-,-0.080,-,100.800,58.800
'47:49:07.544',-,-0.056,-,96.000,58.400
'47:49:07.552',-,-0.016,-,91.200,57.200
'47:49:07.560',-,0.016,-,86.400,55.200
'47:49:07.568',-,0.016,-,81.600,52.000
'47:49:07.576',-,0.040,-,76.800,49.200
'47:49:07.584',-,0.040,-,72.000,46.400
'47:49:07.592',-,0.056,-,68.000,44.000
'47:49:07.600',-,0.056,-,64.000,42.000
'47:49:07.608',-,0.056,-,60.000,40.000
'47:49:07.616',-,0.056,-,56.800,38.400
'47:49:07.624',-,0.056,-,53.600,37.600
'47:49:07.632',-,0.056,-,50.400,36.800
'47:49:07.640',-,0.056,-,48.800,36.800
'47:49:07.648',-,0.080,-,46.400,36.800
'47:49:07.656',-,0.120,-,44.800,37.200
'47:49:07.664',-,0.224,-,44.000,37.600
'47:49:07.672',-,0.344,-,42.400,38.000
'47:49:07.680',-,0.464,-,42.400,38.400
'47:49:07.688',-,0.568,-,41.600,38.400
'47:49:07.696',-,0.608,-,42.400,38.800
'47:49:07.704',-,0.528,-,42.400,38.400
'47:49:07.712',-,0.344,-,43.200,38.400
'47:49:07.720',-,0.136,-,43.200,37.600
'47:49:07.728',-,0.000,-,43.200,36.800
'47:49:07.736',-,-0.056,-,44.000,36.000
'47:49:07.744',-,-0.080,-,44.000,35.600
