'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'25:42.840',-,-,-,-,-,-,-0.104,-0.112,66.000,-
'25:42.848',-,-,-,-,-,-,-0.104,-0.184,66.000,-
'25:42.856',-,-,-,-,-,-,-0.080,-0.208,66.000,-
'25:42.864',-,-,-,-,-,-,-0.080,-0.136,64.800,-
'25:42.872',-,-,-,-,-,-,-0.104,-0.160,64.800,-
'25:42.880',-,-,-,-,-,-,-0.104,-0.112,64.800,-
'25:42.888',-,-,-,-,-,-,-0.080,-0.184,63.600,-
'25:42.896',-,-,-,-,-,-,-0.080,-0.136,63.600,-
'25:42.904',-,-,-,-,-,-,-0.104,-0.112,63.600,-
'25:42.912',-,-,-,-,-,-,-0.144,-0.184,62.400,-
'25:42.920',-,-,-,-,-,-,-0.104,-0.208,62.400,-
'25:42.928',-,-,-,-,-,-,-0.080,-0.112,62.400,-
'25:42.936',-,-,-,-,-,-,-0.056,-0.160,62.400,-
'25:42.944',-,-,-,-,-,-,-0.056,-0.160,62.400,-
'25:42.952',-,-,-,-,-,-,-0.056,-0.088,62.400,-
'25:42.960',-,-,-,-,-,-,-0.056,-0.136,61.200,-
'25:42.968',-,-,-,-,-,-,-0.040,-0.040,61.200,-
'25:42.976',-,-,-,-,-,-,-0.056,-0.088,61.200,-
'25:42.984',-,-,-,-,-,-,-0.080,-0.112,60.000,-
'25:42.992',-,-,-,-,-,-,-0.080,-0.088,60.000,-
'25:43.000',-,-,-,-,-,-,-0.080,-0.160,60.000,-
'25:43.008',-,-,-,-,-,-,-0.056,-0.112,60.000,-
'25:43.016',-,-,-,-,-,-,-0.080,-0.136,60.000,-
'25:43.024',-,-,-,-,-,-,-0.120,-0.112,60.000,-
'25:43.032',-,-,-,-,-,-,-0.144,-0.160,58.800,-
'25:43.040',-,-,-,-,-,-,-0.184,-0.160,58.800,-
'25:43.048',-,-,-,-,-,-,-0.272,-0.112,60.000,-
'25:43.056',-,-,-,-,-,-,-0.424,-0.232,60.000,-
'25:43.064',-,-,-,-,-,-,-0.552,-0.368,60.000,-
'25:43.072',-,-,-,-,-,-,-0.656,-0.528,61.200,-
'25:43.080',-,-,-,-,-,-,-0.720,-0.552,61.200,-
'25:43.088',-,-,-,-,-,-,-0.784,-0.624,61.200,-
